"","Greyhound_name","Sire_Name","Dam_name","Prize","Weight","Win_time","By","Going","Est_time","SP","Grade","Comment","Date","Name_of_race1","County"
"1","MICASH","ARDERA POWER","BEECHVIEW MINX","€205.00","63","16.79"," ","Sand","16.79&nbsp","n/p","S5","FAw,ALd","05-Jan-18","Flat 300  ","Clonmel"
"2","CLOHEENA BOE","ROMEO RECRUIT","CASTLEHALE JOY","€210.00","78","30.50"," ","-.10 Slow","30.40&nbsp","n/p","A9","SlAw,Ld 2","05-Jan-18","Flat 525  ","Clonmel"
"3","EASILY KNOWN","KINLOCH BRAE","LIOSGARBH PENNY","€205.00","62","16.96"," ","Sand","16.96&nbsp","n/p","S7","FAw,ALd","05-Jan-18","Flat 300  ","Clonmel"
"4","SPRINGWOOD EMMA","SCOLARI ME DADDY","SPRINGWOOD NOKIA","€285.00","65","29.79"," ","-.10 Slow","29.69&nbsp","n/p","A5","EvAw,LdNrL","05-Jan-18","Flat 525  ","Clonmel"
"5","DAUNTING SPREE","MALL BRANDY","SKILLED SPREE","€285.00","56","29.99"," ","-.10 Slow","29.89&nbsp","n/p","A6","SlAw,Ld 4","05-Jan-18","Flat 525  ","Clonmel"
"6","CHAMBERLAIN ZEBO","SUPERIOR PRODUCT","SHES SO VAIN","€210.00","66","16.86"," ","Sand","16.86&nbsp","n/p","S6","Chl 1,LdNrL","05-Jan-18","Flat 300  ","Clonmel"
"7","LAURDELLA JANE","LAUGHIL BLAKE","JAMAICA JANE","€290.00","70","29.55"," ","-.10 Slow","29.45&nbsp","n/p","A4","QAw,ALd","05-Jan-18","Flat 525  ","Clonmel"
"8","HAISTED","KINLOCH BRAE","ASTONS TURBO","€290.00","61","29.63"," ","-.10 Slow","29.53&nbsp","n/p","A5","QAw,ALd","05-Jan-18","Flat 525  ","Clonmel"
"9","MEANDER VALLEY","GREENWELL HAWK","DROOPYS LAKE","€310.00","71","30.17"," ","-.50 Slow","29.67&nbsp","n/p","A5","Blk 1,Ld 1","07-Jan-18","Flat 525  ","Clonmel"
"10","POPULAR SUZIE","DROOPYS VIERI","CHEERFUL LIL","€310.00","62","30.17"," ","-.50 Slow","29.67&nbsp","n/p","A5","Blk 1,ALd","07-Jan-18","Flat 525  ","Clonmel"
"11","ASTONS SUPREME","BALLYMAC VIC","ASTONS TURBO","€210.00","68","16.92"," ","-.20 Slow","16.72&nbsp","n/p","S5","EP,Snld","07-Jan-18","Flat 300  ","Clonmel"
"12","OPEN THE BOOT","TYRUR BIG MIKE","GALLOPING MAEVE","€310.00","80","29.77"," ","-.50 Slow","29.27&nbsp","n/p","A3","QAw,Ld 2","07-Jan-18","Flat 525  ","Clonmel"
