Station Name: HOLYCROSS-Cabragh_Wetlands
Station Height: 94 M 
Latitude:52.640  ,Longitude: -7.838


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jan-2013,0,0.200, , , , , , 
02-jan-2013,4,0.000, , , , , , 
03-jan-2013,4,0.000, , , , , , 
04-jan-2013,4,0.000, , , , , , 
05-jan-2013,0,1.600, , , , , , 
06-jan-2013,0,7.300, , , , , , 
07-jan-2013,0,2.400, , , , , , 
08-jan-2013,4,0.000, , , , , , 
09-jan-2013,0,1.500, , , , , , 
10-jan-2013,4,0.000, , , , , , 
11-jan-2013,0,2.400, , , , , , 
12-jan-2013,4,0.000, , , , , , 
13-jan-2013,0,1.200, , , , , , 
14-jan-2013,0,0.000, , , , , , 
15-jan-2013,0,4.600, , , , , , 
16-jan-2013,0,4.200, , , , , , 
17-jan-2013,0,25.300, , , , , , 
18-jan-2013,0,6.900, , , , , , 
19-jan-2013,0,2.300, , , , , , 
20-jan-2013,0,0.000, , , , , , 
21-jan-2013,0,0.000, , , , , , 
22-jan-2013,0,0.000, , , , , , 
23-jan-2013,0,0.100, , , , , , 
24-jan-2013,0,3.900, , , , , , 
25-jan-2013,0,19.200, , , , , , 
26-jan-2013,0,10.000, , , , , , 
27-jan-2013,0,6.200, , , , , , 
28-jan-2013,0,5.500, , , , , , 
29-jan-2013,0,2.900, , , , , , 
30-jan-2013,0,6.200, , , , , , 
31-jan-2013,0,3.800, , , , , , 
01-feb-2013,0,0.900, , , , , , 
02-feb-2013,0,1.000, , , , , , 
03-feb-2013,0,0.400, , , , , , 
04-feb-2013,0,6.500, , , , , , 
05-feb-2013,0,4.900, , , , , , 
06-feb-2013,0,1.300, , , , , , 
07-feb-2013,0,2.400, , , , , , 
08-feb-2013,4,0.000, , , , , , 
09-feb-2013,0,4.000, , , , , , 
10-feb-2013,0,3.500, , , , , , 
11-feb-2013,0,0.800, , , , , , 
12-feb-2013,0,4.000, , , , , , 
13-feb-2013,0,4.200, , , , , , 
14-feb-2013,0,1.400, , , , , , 
15-feb-2013,4,0.000, , , , , , 
16-feb-2013,4,0.000, , , , , , 
17-feb-2013,4,0.000, , , , , , 
18-feb-2013,4,0.000, , , , , , 
19-feb-2013,4,0.000, , , , , , 
20-feb-2013,4,0.000, , , , , , 
21-feb-2013,0,0.000, , , , , , 
22-feb-2013,0,0.000, , , , , , 
23-feb-2013,0,0.000, , , , , , 
24-feb-2013,0,0.000, , , , , , 
25-feb-2013,0,0.000, , , , , , 
26-feb-2013,0,0.000, , , , , , 
27-feb-2013,0,0.000, , , , , , 
28-feb-2013,0,0.000, , , , , , 
01-mar-2013,0,0.000, , , , , , 
02-mar-2013,0,0.000, , , , , , 
03-mar-2013,0,0.000, , , , , , 
04-mar-2013,0,0.000, , , , , , 
05-mar-2013,0,2.200, , , , , , 
06-mar-2013,0,1.000, , , , , , 
07-mar-2013,0,6.500, , , , , , 
08-mar-2013,0,1.800, , , , , , 
09-mar-2013,0,5.900, , , , , , 
10-mar-2013,0,3.000, , , , , , 
11-mar-2013,0,0.000, , , , , , 
12-mar-2013,0,0.400, , , , , , 
13-mar-2013,0,0.200, , , , , , 
14-mar-2013,0,4.900, , , , , , 
15-mar-2013,0,3.800, , , , , , 
16-mar-2013,0,0.500, , , , , , 
17-mar-2013,0,1.800, , , , , , 
18-mar-2013,0,1.100, , , , , , 
19-mar-2013,0,1.500, , , , , , 
20-mar-2013,0,0.100, , , , , , 
21-mar-2013,0,24.100, , , , , , 
22-mar-2013,0,12.500, , , , , , 
23-mar-2013,0,0.100, , , , , , 
24-mar-2013,0,0.000, , , , , , 
25-mar-2013,0,0.000, , , , , , 
26-mar-2013,0,0.000, , , , , , 
27-mar-2013,4,0.000, , , , , , 
28-mar-2013,0,0.000, , , , , , 
29-mar-2013,0,0.000, , , , , , 
30-mar-2013,0,0.000, , , , , , 
31-mar-2013,0,4.400, , , , , , 
